Index,Cluster_1Word,NEG,NEU,POS,TOTAL
0,chicken,8912,6107,26721,41740
1,service,9683,1237,29358,40278
2,food,4322,2374,33198,39894
3,atmosphere,1708,938,13626,16272
4,drink,1608,1614,6933,10155
5,price,2037,806,5620,8463
6,salad,1427,1077,4711,7215
7,reservation,1747,1950,2463,6160
8,menu,885,711,3985,5581
9,experience,541,267,2671,3479
10,portion,752,172,2315,3239
11,tip,1377,278,853,2508
12,delivery,1247,246,661,2154
13,smell,1127,204,589,1920
14,cuisine,172,139,1593,1904
15,thai,35,42,557,634
16,restaurant,44,30,433,507
17,special,29,90,303,422
18,serve,174,28,150,352
19,family,36,41,253,330
20,eat,25,12,86,123
21,feel,4,3,87,94
22,look,14,5,37,56
23,good,0,1,14,15
24,gyozas,2,1,4,7
