Index,Cluster_1Word,POS,NEG,NEU,TOTAL
0,service,1421,437,74,1932
1,chicken,1118,411,298,1827
2,food,1378,196,140,1714
3,atmosphere,1222,80,71,1373
4,drink,485,100,124,709
5,reservation,237,81,168,486
6,salad,284,72,61,417
7,menu,242,84,47,373
8,price,175,74,38,287
9,experience,151,29,24,204
10,smell,57,54,11,122
11,portion,66,38,5,109
12,tip,29,44,15,88
13,delivery,12,40,7,59
14,special,35,1,13,49
15,cuisine,22,4,2,28
16,restaurant,19,5,4,28
17,family,17,1,3,21
18,serve,5,9,3,17
19,thai,8,2,1,11
20,eat,5,1,2,8
21,feel,7,0,0,7
22,look,6,0,0,6
